app,subscribed_topics,QoS_latency,QoS_throughput,QoS_dropping
app36,occupancymanagement|videosurveillance|intrusiondetection|,2,202,0.02
app2,videosurveillance|printing|bms|energymanagement|intrusiondetection|,1000,0,0
app21,intrusiondetection|amazonecho|occupancymanagement|smartthings|bms|,0.4,28.8,0
app14,smartthings|amazonecho|,4,0,0
app11,printing|smartthings|,4,0,0
app41,intrusiondetection|,2,202,0.02
app3,amazonecho|energymanagement|smartthings|,1000,0,0
app22,firedetection|,0.4,28.8,0
app1,smartthings|bms|firedetection|energymanagement|,1000,0,0
app24,energymanagement|,0.4,28.8,0
app25,firedetection|,0.4,28.8,0
app12,bms|occupancymanagement|printing|,4,0,0
app37,videosurveillance|occupancymanagement|,2,202,0.02
app26,videosurveillance|,0.4,28.8,0
app13,printing|,4,0,0
app38,videosurveillance|,2,202,0.02
app4,printing|videosurveillance|,1000,0,0
app40,intrusiondetection|,2,202,0.02
app23,firedetection|,0.4,28.8,0
