app,subscribed_topics,QoS_latency,QoS_throughput,QoS_dropping
app8,amazonecho|bms|occupancymanagement|energymanagement|smartthings|,1000,0,0
app45,intrusiondetection|,2,202,0.02
app12,bms|energymanagement|occupancymanagement|printing|,4,0,0
app21,intrusiondetection|occupancymanagement|smartthings|amazonecho|,0.4,28.8,0
app7,videosurveillance|amazonecho|energymanagement|firedetection|,1000,0,0
app22,firedetection|,0.4,28.8,0
app14,smartthings|amazonecho|printing|,4,0,0
app17,printing|bms|occupancymanagement|,4,0,0
app15,printing|,4,0,0
app4,energymanagement|printing|videosurveillance|,1000,0,0
app3,energymanagement|smartthings|,1000,0,0
app30,firedetection|amazonecho|energymanagement|bms|,0.4,28.8,0
app1,smartthings|firedetection|bms|energymanagement|,1000,0,0
app18,printing|,4,0,0
app29,firedetection|,0.4,28.8,0
app37,videosurveillance|,2,202,0.02
app11,smartthings|printing|,4,0,0
app26,videosurveillance|,0.4,28.8,0
app6,energymanagement|intrusiondetection|,1000,0,0
app38,videosurveillance|,2,202,0.02
app5,amazonecho|energymanagement|occupancymanagement|printing|,1000,0,0
app24,intrusiondetection|energymanagement|,0.4,28.8,0
app42,occupancymanagement|,2,202,0.02
app27,firedetection|bms|energymanagement|amazonecho|,0.4,28.8,0
app31,firedetection|,0.4,28.8,0
app2,intrusiondetection|printing|bms|energymanagement|,1000,0,0
app39,videosurveillance|,2,202,0.02
app16,printing|,4,0,0
app44,occupancymanagement|,2,202,0.02
app41,intrusiondetection|,2,202,0.02
app32,energymanagement|amazonecho|,0.4,28.8,0
app28,smartthings|,0.4,28.8,0
app43,occupancymanagement|,2,202,0.02
app46,videosurveillance|,2,202,0.02
app25,firedetection|,0.4,28.8,0
app47,intrusiondetection|,2,202,0.02
app13,printing|,4,0,0
app36,videosurveillance|intrusiondetection|,2,202,0.02
app40,intrusiondetection|,2,202,0.02
app23,firedetection|,0.4,28.8,0
